Source.Name,Minutes,Camera 1,Camera 2,Camera 3,Camera 4,Camera 5,Camera 6,Camera 7,Camera 8,Camera 9,Reading Time
2019-33,15,90,89,91,91,89,88,70,,,47
2019-33,18,81,84,87,90,80,80,52,,,44
2019-33,21,52,80,81,86,70,72,44,,,48
2019-33,25,37,65,80,82,65,60,37,,,43
2019-33,30,28,49,75,80,60,51,30,,,43
2019-34,0,0,0,0,0,0,0,0,,,
2019-34,3,4,1,1,0,5,2,10,,,46
2019-34,6,15,27,36,14,25,30,36,,,54
2019-34,9,30,59,72,51,55,67,64,,,50
2019-34,12,81,84,85,91,89,90,80,,,47
2019-34,15,90,89,90,94,90,89,71,,,46
2019-34,18,80,82,87,90,80,81,52,,,44
2019-34,21,48,80,83,86,71,71,45,,,50
2019-34,25,36,62,80,82,65,60,39,,,44
2019-34,30,26,47,76,81,60,51,30,,,47
2019-37,0,0,0,0,0,0,,,,,0
2019-37,3,6,0,2,1,10,,,,,50
2019-37,6,18,27,36,11,27,,,,,50
2019-37,9,35,67,75,51,45,,,,,50
2019-37,12,86,91,88,90,70,,,,,50
2019-37,15,91,91,91,90,69,,,,,42
2019-37,18,79,89,83,85,50,,,,,50
2019-37,21,49,80,79,79,40,,,,,45
2019-37,25,37,59,75,74,35,,,,,46
2019-37,30,30,42,64,69,30,,,,,58
2019-38,0,0,0,0,0,0,,,,,0
2019-38,3,3,0,2,1,10,,,,,45
2019-38,6,15,22,34,10,23,,,,,54
2019-38,9,35,61,69,50,45,,,,,39
2019-38,12,84,90,87,90,72,,,,,55
2019-38,15,89,92,90,90,70,,,,,31
2019-38,18,75,87,81,82,48,,,,,46
2019-38,21,44,76,78,79,40,,,,,42
2019-38,25,33,51,70,71,34,,,,,43
2019-38,30,26,40,61,60,23,,,,,48
2019-39,0,0,0,0,0,0,,,,,0
2019-39,3,5,0,1,0,8,,,,,43
2019-39,6,15,20,30,8,20,,,,,43
2019-39,9,35,62,70,50,45,,,,,45
2019-39,12,85,90,87,90,68,,,,,40
2019-39,15,93,90,95,92,68,,,,,37
2019-39,18,77,86,78,85,48,,,,,31
2019-39,21,48,59,73,80,41,,,,,33
2019-39,25,30,55,72,70,34,,,,,33
2019-39,30,25,40,63,65,20,,,,,30
2019-40,0,0,0,0,,,,,,,0
2019-40,3,3,1,1,,,,,,,30
2019-40,6,11,16,24,,,,,,,31
2019-40,9,20,54,57,,,,,,,31
2019-40,12,56,88,78,,,,,,,31
2019-40,15,86,88,77,,,,,,,27
2019-40,18,43,64,55,,,,,,,24
2019-40,21,30,42,45,,,,,,,13
2019-40,25,21,31,34,,,,,,,15
2019-40,30,17,24,25,,,,,,,15
2019-41,0,0,0,0,,,,,,,0
2019-41,3,1,0,0,,,,,,,35
2019-41,6,6,8,19,,,,,,,25
2019-41,9,30,55,58,,,,,,,25
2019-41,12,60,89,79,,,,,,,25
2019-41,15,88,90,78,,,,,,,22
2019-41,18,50,68,59,,,,,,,27
2019-41,21,30,46,50,,,,,,,23
2019-41,25,20,32,35,,,,,,,24
2019-41,30,17,25,25,,,,,,,27
2019-42,0,0,0,0,,,,,,,0
2019-42,3,2,0,0,,,,,,,20
2019-42,6,10,12,20,,,,,,,30
2019-42,9,32,55,60,,,,,,,40
2019-42,12,58,88,80,,,,,,,30
2019-42,15,87,70,80,,,,,,,30
2019-42,18,45,70,68,,,,,,,14
2019-42,21,30,50,52,,,,,,,17
2019-42,25,20,35,42,,,,,,,20
2019-42,30,18,28,33,,,,,,,9
2019-43,0,0,0,0,,,,,,,0
2019-43,3,2,1,0,,,,,,,20
2019-43,6,11,10,21,,,,,,,27
2019-43,9,24,49,56,,,,,,,26
2019-43,12,59,87,79,,,,,,,25
2019-43,15,90,89,80,,,,,,,24
2019-43,18,55,70,68,,,,,,,29
2019-43,21,30,47,55,,,,,,,28
2019-43,25,23,35,40,,,,,,,28
2019-43,30,18,28,30,,,,,,,40
2019-44,0,0,0,0,,,,,,,0
2019-44,3,3,1,1,,,,,,,33
2019-44,6,14,16,23,,,,,,,32
2019-44,9,28,50,58,,,,,,,26
2019-44,12,61,90,80,,,,,,,22
2019-44,15,89,90,80,,,,,,,30
2019-44,18,48,71,69,,,,,,,14
2019-44,21,38,52,58,,,,,,,28
2019-44,25,24,36,44,,,,,,,17
2019-44,30,19,29,32,,,,,,,19
2020-46,0,0,0,0,0,0,0,0,0,0,0
2020-46,3,7,6,10.5,30,17,3,5.5,0,0,100
2020-46,6,17,22,37.5,52,30,20,31.5,13,0,100
2020-46,9,27,49,63.5,43,47,40,51.5,32,21,100
2020-46,12,42,83,84.5,81,69,64,71.5,56,33,100
2020-46,15,92,90,92.5,82,77,88,76.5,71,39,100
2020-46,18,83,86,89.5,81,72,83,70.5,71,32,70
2020-46,21,69,84,85.5,80,70,77,66.5,68,26,60
2020-46,25,53,80,84.5,79,69,71,62.5,63,20,60
2020-46,30,43,75,83.5,78,65,63,57.5,59,15,60
2020-47,0,0,0,0,0,0,0,0,0,0,0
2020-47,3,4,5,14.5,36,16,0,8.5,0,0,96
2020-47,6,18,25,40.5,58,31,13,32.5,13,0,90
2020-47,9,29,54,73.5,56,45,38,54.5,34,9,93
2020-47,12,44,85,87.5,81,71,73,74.5,60,28,79
2020-47,15,94,90,93.5,86,82,91,80.5,79,41,76
2020-47,18,89,89,88.5,83,81,88,73.5,75,34,73
2020-47,21,79,85,86.5,81,75,83,71.5,72,30,60
2020-47,25,64,83,85.5,80,70,80,67.5,70,23,58
2020-47,30,50,80,84.5,79,64,72,62.5,62,15,56
2020-48,0,0,0,0,0,0,0,0,0,0,0
2020-48,3,4,0,12.5,31,12,0,6.5,0,0,100
2020-48,6,13,19,34.5,53,27,21,31.5,12,0,105
2020-48,9,28,54,69.5,76,42,41,51.5,32,11,120
2020-48,12,43,84,84.5,81,72,79,71.5,60,34,110
2020-48,15,93,88,85.5,82,85,89,76.5,75,39,110
2020-48,18,85,84,84.5,81,77,83,71.5,73,33,120
2020-48,21,73,80,84.5,81,72,81,67.5,68,29,80
2020-48,25,60,80,82.5,80,67,73,63.5,63,21,90
2020-48,30,44,74,80.5,76,62,70,61.5,60,14,80
2020-49,0,0,0,0,0,0,0,0,0,0,0
2020-49,3,5,6,11.5,26,12,2,2.5,4,0,80
2020-49,6,13,19,34.5,47,23,12,26.5,7,0,80
2020-49,9,25,52,69.5,76,42,36,47.5,27,11,90
2020-49,12,43,86,85.5,83,72,76,72.5,55,33,90
2020-49,15,93,91,90.5,83,80,89,76.5,72,41,90
2020-49,18,84,84,88.5,81,80,83,70.5,72,36,70
2020-49,21,74,82,84.5,81,72,81,66.5,67,26,80
2020-49,25,58,82,84.5,79,67,73,62.5,63,21,80
2020-49,30,48,79,82.5,76,62,71,61.5,62,16,52
2020-51,0,0,0,0,0,0,0,0,,,0
2020-51,3,15,22,8,0,0,0,0,,,55
2020-51,6,35,52,31,18,15,1,5,,,60
2020-51,9,48,78,59,40,30,11,20,,,60
2020-51,12,71,82,76,71,55,30,31,,,65
2020-51,15,87,86,80,84,68,58,36,,,60
2020-51,18,65,84,83,81,60,53,25,,,60
2020-51,21,57,81,81,80,55,49,19,,,45
2020-51,25,44,76,80,80,50,40,9,,,60
2020-51,30,36,69,80,80,46,35,5,,,60
